Organisms
Nostoc azollae
Alcanivorax borkumensis
Alcanivorax dieselolei
Alcanivorax pacificus
Alcanivorax sp
Alcanivorax xenomutans
Algibacter alginicilyticus
Algoriphagus sanaruensis
Alicycliphilus denitrificans
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alicyclobacillus acidocaldarius
Aliivibrio fischeri
Aliivibrio fischeri
Aliivibrio salmonicida
Aliivibrio wodanis
Alistipes finegoldii
Alistipes shahii
Alistipes sp
Alkalilimnicola ehrlichii
Alkaliphilus metalliredigens
Alkaliphilus oremlandii
Alkalitalea saponilacus
Alligator mississippiensis
Alligator sinensis
Alloactinosynnema sp
Allochromatium vinosum
Allofrancisella guangzhouensis
Alloprevotella sp
Allopseudarcicella aquatilis
Alpha proteobacterium
Alpha proteobacterium
Altererythrobacter atlanticus
Altererythrobacter dongtanensis
Altererythrobacter epoxidivorans
Altererythrobacter marensis
Altererythrobacter namhicola
Altererythrobacter sp
Alternaria alternata
Alteromonas addita
Alteromonas australica
Alteromonas australica
Alteromonas macleodii
Alteromonas macleodii
Alteromonas macleodii
Alteromonas macleodii
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas mediterranea
Alteromonas naphthalenivorans
Alteromonas sp
Alteromonas sp
Alteromonas sp
Alteromonas stellipolaris
Alteromonas stellipolaris
Amborella trichopoda
Aminipila sp
Aminobacter aminovorans
Aminobacter sp
Aminobacterium colombiense
Ammonifex degensii
Amphibacillus xylanus
Amphimedon queenslandica
Amphiprion ocellaris
Amycolatopsis albispora
Amycolatopsis japonica
Amycolatopsis mediterranei
Amycolatopsis mediterranei
Amycolatopsis mediterranei
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolatopsis sp
Amycolatopsis sp
Amycolatopsis sp
Anabaena cylindrica
Anabaena sp
Anabaena sp
Anabaena sp
Anaerobutyricum hallii
Anaerococcus prevotii
Anaerohalosphaera lusitana
Anaerolinea thermophila
Anaerolineaceae bacterium
Anaeromyxobacter dehalogenans
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp
Anaeromyxobacter sp
Anaerostipes hadrus
Anaerostipes rhamnosivorans
Anaerotignum propionicum
Anaplasma centrale
Anaplasma marginale
Anaplasma marginale
Anaplasma marginale
Anaplasma marginale
Anaplasma ovis
Anaplasma phagocytophilum
Anaplasma phagocytophilum
Anaplasma phagocytophilum
Anaplasma phagocytophilum
Anas platyrhynchos
Ancylobacter sp
Aneurinibacillus soli
Aneurinibacillus sp
Anolis carolinensis
Anopheles gambiae
Anoxybacillus amylolyticus
Anoxybacillus flavithermus
Anoxybacillus gonensis
Anoxybacillus sp
Anoxybacillus sp
Anoxybacter fermentans
Anseongella ginsenosidimutans
Anser cygnoides
Antarcticibacterium flavum
Antarcticibacterium sp
Antarctobacter heliothermus
Anthracocystis flocculosa
Aphis gossypii
Apis mellifera
Apteryx australis
Aquabacterium olei
Aquaspirillum sp
Aquibacillus sp
Aquicella lusitana
Aquicella siphonis
Aquifex aeolicus
Aquimarina sp
Aquimarina sp
Aquimarina sp
Aquisphaera giovannonii
Aquitalea magnusonii
Aquitalea sp
Arabidopsis lyrata
Arabidopsis thaliana
Arachidicoccus ginsenosidivorans
Arachidicoccus sp
Arachidicoccus sp
Arachidicoccus sp
Arachis duranensis
Arachis ipaensis
Arcanobacterium haemolyticum
Archaeoglobus fulgidus
Archaeoglobus fulgidus
Archaeoglobus profundus
Archaeoglobus sulfaticallidus
Archaeoglobus veneficus
Archaeon GW2011_AR10
Archaeon GW2011_AR20
Archangium gephyra
Arcobacter butzleri
Arcobacter butzleri
Arcobacter butzleri
Arcobacter halophilus
Arcobacter marinus
Arcobacter mytili
Arcobacter nitrofigilis
Arcobacter skirrowii
Arcobacter sp
Arcobacter sp
Arcticibacterium luteifluviistationis
Arenibacter algicola
Aromatoleum aromaticum
Arsenicicoccus sp
Arsenophonus endosymbiont
Arsenophonus nasoniae
Arthrobacter alpinus
Arthrobacter alpinus
Arthrobacter crystallopoietes
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrobacter sp
Arthrospira platensis
Asaia bogorensis
Ashbya gossypii
Asparagus officinalis
Aspergillus clavatus
Aspergillus fischeri
Aspergillus flavus
Aspergillus fumigatus
Aspergillus nidulans
Aspergillus niger
Aspergillus oryzae
Aster yellows
Asticcacaulis excentricus
Astyanax mexicanus
Athene cunicularia
Atlantibacter hermannii
Atopobium parvulum
Atta cephalotes
Aurantimicrobium minutum
Aurantimicrobium sp
Aurantimicrobium sp
Aureimonas sp
Aureitalea sp
Aureococcus anophagefferens
Auricoccus indicus
Auricularia subglabra
Auritidibacter sp
Austrofundulus limnaeus
Auxenochlorella protothecoides
Avibacterium paragallinarum
Azoarcus communis
Azoarcus olearius
Azoarcus sp
Azoarcus sp
Azoarcus sp
Azoarcus sp
Azoarcus sp
Azoarcus sp
Azorhizobium caulinodans
Azospira oryzae
Azospirillum brasilense
Azospirillum brasilense
Azospirillum brasilense
Azospirillum humicireducens
Azospirillum lipoferum
Azospirillum sp
Azospirillum sp
Azospirillum sp
Azospirillum sp
Azospirillum thiophilum
Azotobacter chroococcum
Azotobacter vinelandii
Azotobacter vinelandii
Azotobacter vinelandii
Babesia bovis
Babesia microti
Bacillus altitudinis
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus anthracis
Bacillus atrophaeus
Bacillus beveridgei
Bacillus bombysepticus
Bacillus cellulosilyticus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus cereus
Bacillus clausii
Bacillus coagulans
Bacillus coagulans
Bacillus coagulans
Bacillus cytotoxicus
Bacillus filamentosus
Bacillus flexus
Bacillus gibsonii
Bacillus glycinifermentans
Bacillus halodurans
Bacillus horikoshii
Bacillus infantis
Bacillus intestinalis
Bacillus kochii
Bacillus krulwichiae
Bacillus lehensis
Bacillus licheniformis
Bacillus licheniformis
Bacillus megaterium
Bacillus megaterium
Bacillus megaterium
Bacillus megaterium
Bacillus methanolicus
Bacillus muralis
Bacillus mycoides
Bacillus mycoides
Bacillus mycoides
Bacillus oceanisediminis
Bacillus paralicheniformis
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus pumilus
Bacillus pumilus
Bacillus pumilus
Bacillus safensis
Bacillus selenitireducens
Bacillus simplex
Bacillus smithii
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus sp
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus subtilis
Bacillus thermoamylovorans
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus thuringiensis
Bacillus toyonensis
Bacillus vallismortis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus velezensis
Bacillus weihaiensis
Bacillus wiedmannii
Bacillus xiamenensis
Bacterioplanes sanyensis
Bacteriovorax stolpii
Bacterium AB1
Bacteroidales bacterium
Bacteroides caccae
Bacteroides caecimuris
Bacteroides cellulosilyticus
Bacteroides dorei
Bacteroides dorei
Bacteroides fragilis
Bacteroides fragilis
Bacteroides fragilis
Bacteroides fragilis
Bacteroides helcogenes
Bacteroides heparinolyticus
Bacteroides intestinalis
Bacteroides ovatus
Bacteroides salanitronis
Bacteroides thetaiotaomicron
Bacteroides thetaiotaomicron
Bacteroides vulgatus
Bacteroides xylanisolvens
Bacteroides zoogleoformans
Bacteroidetes bacterium
Baekduia soli
Balaenoptera acutorostrata
Barnesiella viscericola
Bartonella ancashensis
Bartonella apis
Bartonella australis
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella grahamii
Bartonella henselae
Bartonella henselae
Bartonella henselae
Bartonella quintana
Bartonella quintana
Bartonella sp
Bartonella sp
Bartonella sp
Bartonella sp
Bartonella sp
Bartonella sp
Bartonella tribocorum
Bartonella tribocorum
Bartonella vinsonii
Basilea psittacipulmonis
Bathycoccus prasinos
Baudoinia panamericana
Baumannia cicadellinicola
Bdellovibrio bacteriovorus
Bdellovibrio bacteriovorus
Bdellovibrio bacteriovorus
Bdellovibrio bacteriovorus
Bdellovibrio exovorus
Bdellovibrio sp
Beggiatoa leptomitiformis
Beijerinckia indica
Beijerinckiaceae bacterium
Belliella baltica
Bemisia tabaci
Berkelbacteria bacterium
Bernardetia litoralis
Beta proteobacterium
Beta vulgaris
Betaproteobacteria bacterium
Betaproteobacteria bacterium
Beutenbergia cavernae
Bibersteinia trehalosi
Bibersteinia trehalosi
Bibersteinia trehalosi
Bibersteinia trehalosi
Bifidobacterium actinocoloniiforme
Bifidobacterium adolescentis
Bifidobacterium adolescentis
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium asteroides
Bifidobacterium bifidum
Bifidobacterium bifidum
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium choerinum
Bifidobacterium coryneforme
Bifidobacterium dentium
Bifidobacterium dentium
Bifidobacterium indicum
Bifidobacterium kashiwanohense
Bifidobacterium kashiwanohense
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum
Bifidobacterium scardovii
Bifidobacterium thermophilum
Bipolaris oryzae
Bipolaris sorokiniana
Bipolaris zeicola
Blastochloris sp
Blastochloris viridis
Blastococcus saxobsidens
Blastomonas fulva
Blastomonas sp
Blattabacterium Cpu
Blattabacterium cuenoti
Blattabacterium sp
Blattabacterium sp
Blattabacterium sp
Blattabacterium sp
Blattabacterium sp
Blattabacterium sp
Blattabacterium sp
Blautia hansenii
Blautia obeum
Blautia producta
Blautia sp
Blautia sp
Blautia sp
Blochmannia endosymbiont
Blochmannia endosymbiont
Boleophthalmus pectinirostris
Bombus impatiens
Bombus terrestris
Bombyx mandarina
Bombyx mori
Bordetella avium
Bordetella bronchialis
Bordetella bronchiseptica
Bordetella bronchiseptica
Bordetella bronchiseptica
Bordetella bronchiseptica
Bordetella flabilis
Bordetella genomosp
Bordetella hinzii
Bordetella holmesii
Bordetella holmesii
Bordetella parapertussis
Bordetella parapertussis
Bordetella pertussis
Bordetella pertussis
Bordetella pertussis
Bordetella pertussis
Bordetella pertussis
Bordetella petrii
Bordetella pseudohinzii
Bordetella sp
Bordetella sp
Bordetella sp
Bordetella trematum
Borrelia afzelii
Borrelia afzelii
Borrelia afzelii
Borrelia anserina
Borrelia burgdorferi
Borrelia crocidurae
Borrelia duttonii
Borrelia hermsii
Borrelia hermsii
Borrelia mayonii
Borrelia miyamotoi
Borrelia miyamotoi
Borrelia parkeri
Borrelia recurrentis
Borrelia turcica
Borrelia turicatae
Borreliella afzelii
Borreliella afzelii
Borreliella bavariensis
Borreliella bissettii
Borreliella burgdorferi
Borreliella burgdorferi
Borreliella burgdorferi
Borreliella burgdorferi
Borreliella chilensis
Borreliella garinii
Borreliella garinii
Borreliella garinii
Borreliella garinii
Borreliella valaisiana
Bos indicus
Bos mutus
Bos taurus
Bosea sp
Bosea sp
Bosea sp
Bosea sp
Bosea vaviloviae
Boseongicola sp
Botrytis cinerea
Brachybacterium faecium
Brachybacterium ginsengisoli
Brachybacterium saurashtrense
Brachybacterium sp
Brachybacterium sp
Brachybacterium sp
Brachybacterium sp
Brachypodium distachyon
Brachyspira hampsonii
Brachyspira hyodysenteriae
Brachyspira hyodysenteriae
Brachyspira intermedia
Brachyspira murdochii
Brachyspira pilosicoli
Brachyspira pilosicoli
Brachyspira pilosicoli
Brachyspira pilosicoli
Bradymonas sediminis
Bradyrhizobium amphicarpaeae
Bradyrhizobium diazoefficiens
Bradyrhizobium guangdongense
Bradyrhizobium guangzhouense
Bradyrhizobium icense
Bradyrhizobium japonicum
Bradyrhizobium japonicum
Bradyrhizobium oligotrophicum
Bradyrhizobium ottawaense
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium sp
Bradyrhizobium symbiodeficiens
Branchiostoma floridae
Brassica napus
Brassica oleracea
Brassica rapa
Brenneria goodwinii
Brenneria nigrifluens
Brenneria rubrifaciens
Breoghania sp
Brevefilum fermentans
Brevibacillus agri
Brevibacillus brevis
Brevibacillus formosus
Brevibacillus laterosporus
Brevibacterium aurantiacum
Brevibacterium flavum
Brevibacterium linens
Brevibacterium sp
Breviolum minutum
Brevundimonas diminuta
Brevundimonas naejangsanensis
Brevundimonas sp
Brevundimonas sp
Brevundimonas sp
Brevundimonas sp
Brevundimonas subvibrioides
Brevundimonas vesicularis
Brochothrix thermosphacta
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella abortus
Brucella canis
Brucella canis
Brucella canis
Brucella canis
Brucella canis
Brucella ceti
Brucella ceti
Brucella melitensis
Brucella melitensis
Brucella melitensis
Brucella melitensis
Brucella melitensis
Brucella melitensis
Brucella melitensis
Brucella microti
Brucella ovis
Brucella pinnipedialis
Brucella pinnipedialis
Brucella sp
Brucella sp
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella suis
Brucella vulpis
Brugia malayi
Bubalus bubalis
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Buchnera aphidicola
Burkholderia ambifaria
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia cepacia
Burkholderia cepacia
Burkholderia contaminans
Burkholderia diffusa
Burkholderia dolosa
Burkholderia gladioli
Burkholderia gladioli
Burkholderia glumae
Burkholderia glumae
Burkholderia insecticola
Burkholderia lata
Burkholderia latens
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia mallei
Burkholderia metallica
Burkholderia multivorans
Burkholderia multivorans
Burkholderia multivorans
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia oklahomensis
Burkholderia plantarii
Burkholderia plantarii
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomallei
Burkholderia pseudomultivorans
Burkholderia pyrrocinia
Burkholderia seminalis
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia sp
Burkholderia stabilis
Burkholderia stagnalis
Burkholderia territorii
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderia vietnamiensis
Burkholderiales bacterium
Burkholderiales bacterium
Buttiauxella sp
producing bacterium
producing bacterium
Butyricimonas sp
Butyrivibrio fibrisolvens
Butyrivibrio hungatei
Butyrivibrio proteoclasticus
Caenorhabditis briggsae
Caenorhabditis elegans
Cajanus cajan
Caldanaerobacter subterraneus
Caldicellulosiruptor bescii
Caldicellulosiruptor changbaiensis
Caldicellulosiruptor hydrothermalis
Caldicellulosiruptor kristjanssonii
Caldicellulosiruptor kronotskyensis
Caldicellulosiruptor lactoaceticus
Caldicellulosiruptor obsidiansis
Caldicellulosiruptor owensensis
Caldicellulosiruptor saccharolyticus
Caldilinea aerophila
Caldimicrobium thiodismutans
Caldisericum exile
Caldisphaera lagunensis
Calditerrivibrio nitroreducens
Caldithrix abyssi
Caldivirga maquilingensis
Callithrix jacchus
Callorhinchus milii
Caloramator sp
Calothrix sp
Calothrix sp
Calothrix sp
Camelina sativa
Camelus dromedarius
Camelus ferus
Caminibacter mediatlanticus
Camponotus floridanus
Campylobacter avium
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter coli
Campylobacter concisus
Campylobacter concisus
Campylobacter cuniculorum
Campylobacter curvus
Campylobacter fetus
Campylobacter fetus
Campylobacter fetus
Campylobacter fetus
Campylobacter fetus
Campylobacter fetus
Campylobacter fetus
Campylobacter gracilis
Campylobacter helveticus
Campylobacter hepaticus
Campylobacter hominis
Campylobacter hyointestinalis
Campylobacter iguaniorum
Campylobacter insulaenigrae
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter lanienae
Campylobacter lari
Campylobacter lari
Campylobacter lari
Campylobacter lari
Campylobacter lari
Campylobacter lari
Campylobacter peloridis
Campylobacter pinnipediorum
Campylobacter sp
Campylobacter sp
Campylobacter sp
Campylobacter sputorum
Campylobacter subantarcticus
Campylobacter subantarcticus
Campylobacter ureolyticus
Campylobacter volucris
Candida albicans
Candida auris
Candida dubliniensis
Candida glabrata
Candida orthopsilosis
Candida tropicalis
Candidate division
Candidate division
Candidate division
Candidate division
Candidate division
Candidatus Amoebophilus
Candidatus Arsenophonus
Candidatus Arthromitus
Candidatus Arthromitus
Candidatus Arthromitus
Candidatus Arthromitus
Candidatus Atelocyanobacterium
Candidatus Azobacteroides
Candidatus Babela
Candidatus Bathyarchaeota
Candidatus Bathyarchaeota
Candidatus Baumannia
Candidatus Baumannia
Candidatus Beckwithbacteria
Candidatus Bipolaricaulis
Candidatus Bipolaricaulis
Candidatus Blochmannia
Candidatus Blochmannia
Candidatus Blochmannia
Candidatus Blochmannia
Candidatus Caldiarchaeum
Candidatus Campbellbacteria
Candidatus Cardinium
Candidatus Carsonella
Candidatus Carsonella
Candidatus Carsonella
Candidatus Carsonella
Candidatus Carsonella
Candidatus Carsonella
Candidatus Carsonella
Candidatus Cloacimonas
Candidatus Cyclonatronum
Candidatus Desulforudis
Candidatus Desulfovibrio
Candidatus Doolittlea
Candidatus Endolissoclinum
Candidatus Endolissoclinum
Candidatus Endomicrobium
Candidatus Erwinia
Candidatus Evansia
Candidatus Filomicrobium
Candidatus Filomicrobium
Candidatus Fluviicola
Candidatus Fokinia
Candidatus Fukatsuia
Candidatus Gullanella
Candidatus Hamiltonella
Candidatus Hepatoplasma
Candidatus Hoaglandella
Candidatus Hodgkinia
Candidatus Hodgkinia
Candidatus Hodgkinia
Candidatus Hodgkinia
